PERFIS;wagsantisteban;danilogentili;Leah_Sandy;rafinhabastos;huckluciano;marcelotas;programapanico;rosana;kibeloco;melhoresfrases;;;;;;;;;;;;;
23;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili se vc realmente tiver com a gripe H1N1 toda a galera do CQC vai ter q fica de quarentena..?;RT @leticiaflp @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos Serve para limpar as mãoos nestes tempos de gripe suína...;@huckluciano A gripe H1N1 se pega no ar, nãoo por intermedio de picada de mosquito!;@gaijim  VCQC COM @marcelotas DO CQC http://bit.ly/taWiQ ou VCQC (GRIPE SUINA) http://bit.ly/1546TQ !!!!;@programapanico http://twitpic.com/fdlxf - Quem morre da gripe suína, vira espão­rito de porco?;@rosana http://twitpic.com/c7y0d - REMéDIO PARA GRIPE SUINA!;"""Britto Júnior: ""Essa nova música do Dado Dolabella vai pegar!"" (@kibeloco) - Nossa, prefiro pegar a gripe suína viu...";"Muito boa...hahaha RT @melhoresfrases ""Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína"".";;;;;;;;;;;;;
24;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Que nãoo seja a H1N1. E a tensãoo? Frio na barriga? Febril?;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos Gripe suína é transmitida através de contato íntimo com o porco, quem pratica zoofilia está no grupo de risco hihihi;@huckluciano é dão!!!!;@marcelotas Você que é informado, eu ouvi falar que a gripe suína passou pro Peru, mas é o animal, o país ou o Orlando Drummond?;"@programapanico http://twitpic.com/fdlxf - ""quem morre de gripe suína vira espão­rito de porco?"" (hein? hein? eu disse q ia tentar!!!)";@rosana @marimoon Como saber se está com a gripe suina? #gripesuina http://bit.ly/Dxvd1;@kibeloco vai pegar gripe suina e morrer de vez, so se for;RT: @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
25;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili se for H1N1, e você for fazer show no hospital, nãoo me incomodo em ir assitir hehe;RT@Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! @carolinecwb;@rafinhabastos Vc viu? RT @bbcbrasil Gripe suína leva rabinos a sugerir mudança de hábitos religiosos em Israel... http://bit.ly/I4FI6;@huckluciano Cuidado com a H1N1!!!!! Boa viagem!;@marcelotasO nome do remédio contra gripe suína, o TAMIFLU, me lembra mais algo como nós TAMEFU!!!!!!!!!!!;@programapanico.O que uma gripe suina fala pra outra?;@rosana Como saber se está com a gripe suina? #gripesuina http://bit.ly/Dxvd1;@kibeloco Excelente.... Achoq ue mandaram o cara lá só para ver se ele pega a gripe suína... nãoo devem gostar muito dele nãoo. Deve ser novo.;RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
26;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili só pq viajei com um suspeito de H1N1 perdi 10 followers, isso tudo é medo? ai se eu tivesse falado outra coisa...;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos Até quando vamos esperar para começar a precionar o governo a falar a verdade e tomar providência sobre a gripe suína?;@huckluciano Argentina??á Luciano vc n ve jornal eh??Nãoo vai trazer o H1N1 pro RJ nao tah????abraços e boa viagem!;"@marcelotas Brasil lidera as mortes de Gripe Suína no mundo, será que o Lula ainda vai dizer q aqui é uma ""marolinha""??";"@programapanico : ""PANICO"" da Gripe Suina, Alcool gel a vontade no estudio";@paulosergio @rosana AO VIVO em uma escola do estado, com aulas suspensas até dia 17 de agosto por causa da gripe suína...boa tarde!;Andre Marques com gripe suína, ja to imaginando as tiradas do kibeloco http://tinyurl.com/myhwsq;Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP RT: @melhoresfrases;;;;;;;;;;;;;
27;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;Encontrei um LP de Mariachis, nãoo vou mexer com #medo da #H1N1 e um #LP de lambada, esse vou dar de presente pro @danilogentili lambadeiro.;RT @Ricciardone @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;@rafinhabastos http://qik.com/video/2506137 um porco na central do rio de janeiro. quem tem medo de gripe suina?;@huckluciano www.lucianarevela.blogspot.com/ Dêem uma olhada no blog, conversa entre médicos sobre a real situação da Gripe Suína;@marcelotas Se eu morrer de gripe suína, serei um espão­rito de PORCO???;@programapanico www.lucianarevela.blogspot.com/ Dêem uma olhada no blog, conversa entre médicos sobre a real situação da Gripe Suína.;@rosana -&gt;@kibeloco Primeiro caso de gripe suína no Congresso Nacional? Já vi tudo: mais um recesso remunerado ão s nossas custas...;RT @melhoresfrasesSou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
28;RT @wagsantisteban: 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili Gripe espanhola, digo suína, quer dizer mudou né? H1N1, pro povo nãoo parar de comer porco!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT @rafinhabastos ' http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.' AEHUAEUAHE, eu ri :P;@huckluciano, @sigacl &gt;@marcelotas A midia so fala da gripe suina para que todos esqueçam do Sarney. Solução: Sarney pegar gripe suina ;@programapanico http://twitpic.com/fbump - a gripe suina sempre existiu! minha mãoe sempre dizia:vai limpar o nariz seu porquinho!;RT @rosana: Prevenção p/ gripe suína é lavar bem as mãoos, certo? Entãoo o governo deveria reforçar a cota de sabãoo na cesta básica Q tal? Boa;Mocotó pega gripe suína!! #piadapronta Vai lá @kibeloco, @tedouumdado, etc...;"RT melhoresfrases ""Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína."" Marcelo Taboada/FSP";;;;;;;;;;;;;
29;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili - caralho, rola tempo nem de mijar, lavar a mãoo?... Olha a gripe suína!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos, tá com medo de pegar gripe suina, só tem palmeirense aqui em casa...;O Luciano estava numa carverna se escondendo da Gripe suína! RT @huckluciano sras e srs, antes tarde do que nunca!!!!!;@marcelotas A VERDADE SOBRE A GRIPE SUÍNA:;@programapanico Em tempos de gripe suína comer meleca virou profissãoo de risco! (Kero o Iphone!!!!);RT @rosana - Prevenção p/ gripe suína é lavar bem as mãoos, certo? Entãoo o governo deveria reforçar a cota de sabãoo na cesta básica. Q tal?;"RT @kibeloco: ""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus.";RT: @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
30;Arrasá! RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili uma epidemia chamada ""Danilo Gentili"" mais grave que a gripe suina (apesar dele parecer com um porco)!";RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos @marcoluque A que ponto chegou o medo da gripe suína;@marcelotas @huckluciano http://twitpic.com/e13pl - A que ponto chegou a gripe suina!!!!;@marcelotas RT @HumorTadela Dicas da Gripe Suína: http://migre.me/5B3f muito legal!!!!;@programapanico kkkkkkk essa eu gosteei, é mesmo é uma coisa muito importante vai que a gripe suina se pega pelo xixi ;@rosana a gripe suína mata menos,bem menos do que a ''estrela vermelha'' que governa nosso país!!;"kibeloco""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus.";haha RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína.Marcelo Taboada;;;;;;;;;;;;;
31;RT @wagsantisteban  4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili  http://bit.ly/3s4uf8 - ISSO Tão SE ESPALHANDO MAIS Q A GRIPE SUÍNA!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha = Concordo!!;@rafinhabastos Hj vou ao Mineirãoo ver Galo x Porco e amanhão tem happy hour no Porcãoo com os amigos. Estou no grupo de risco da Gripe Suina?;@huckluciano pare com essa neurose de gripe suina, mais facil pegar piolho e dengue do que gripe suina só isso! Adriana  nutricionista;http://bit.ly/3KTapU verdade sobre a gripe suina @marcelotas @magelapt;@programapanico Piada: Com essa gripe suina pegando nos perus, eu vou lavar minhas mãoo para pegar no pinto. Vai que ele pega. Depois ele ...;RT @rosana A gripe comum mata mais que a gripe suína? Como é morrer mais ou morrer menos? Eu quero morrer bem pouquinho, pode ser?;"RT @kibeloco""Brasileiros isolam vírus da gripe suína""-Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus. http://migre.me/2FTU";RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
32;Boaaaa RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili nãoo esqueça de lavar bem as mãoos, a gripe suina ainda nãoo deu tchau pra nós do braza .;4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha! (via @Leah_Sandy);RT @rafinhabastoshttp://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano Se, apenas álcool, se elimina o risco do virus da gripe suína, ingerindo bebida alcoólica, entãoo, ele nem chega perto;@marcelotas Verdade sobre gripe suína, vão­deo em espanhol http://bit.ly/Z95LW;Tem alguem no @programapanico meio obcecado ca gripe suina,o vidro de alcool n sai de cima da mesa #entrevistaMB;RT @rosana: A gripe comum mata mais q a gripe suína? Como é morrer mais ou morrer menos? Eu quero morrer bem pouquinho, pode ser? E s/ gelo.;"RT @kibeloco: ""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus.";RT@melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
33;RT@SergioMarone@wagsantisteban 4000 pessoas têm gripe suína e tdo mundo quer usar máscara.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili lava a mãoo...gripe suína com merda ainda...ngm merece...;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha.;é cada uma que aparece... RT: @rafinhabastos http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano para com essa neura de gripe suina, é mais facil pegar piolho ou dengue do que gripe suina! Adriana nutricionista;@marcelotas @huckluciano http://twitpic.com/e13pl - A que ponto chegou a gripe suina!!!!;@programapanico;RT @rosana: A gripe comum mata mais que a gripe suína? Como é morrer mais ou morrer menos? Eu quero morrer bem pouquinho, pode ser?;"RT @kibeloco: ""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará habeas corpus. http://migre.me/2FTU";RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
34;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili vc tem q ser + político e pedir votos c/ tuitatadas pessoais, tirar fotos abraçado c/ pessoas c/ gripe suína e por ai vai..;#noEstomago RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @rafinhabastos http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano Nem me lembra... Acabou o alcool em gel daqui pq todo mundo com medo da gripe suina.;@marcelotas Curitiba? e a gripe suína?;"@programapanico nova versãoo do ""peitinho"": AUTO-PEITINHO!!! é pra nãoo tocar nas pessoas em plena epidemia da gripe suina ";RT @rosana: A gripe comum mata mais que a gripe suína? Como é morrer mais ou morrer menos? Eu quero morrer bem pouquinho, pode ser?;"RT @kibeloco ""Brasileiros isolam vírus da gripe suína"" Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus. http://migre.me/2FTU";RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
35;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili esse chicletinho safado que a Galisteu dá pro Oscar em tempos de gripe suína..... pqp.....;RT@Leah_Sandy:4 mil pessoas têm gripe suína e td mundo quer usar máscaras.33 MILHõeS têm AIDS e ng quer usar camisinha!(via @wagsantisteban);RT @rafinhabastos: http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano está com medo da gripe suína ? rsrs;@marcelotas Atos Secretos estãoo contaminando mais que gripe suina!;agora eu vou assistir o @programapanico, xau pessoal, adoro v6, e cuidado com a gripe suína, eu ão± qero pegar ela pelo twitter ão± kkkkkk;RT @rosana: Prevenção p/ gripe suína é lavar bem as mãoos, certo? Entãoo o governo deveria reforçar a cota de sabãoo na cesta básica. Q tal?;"RT @kibeloco ""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus.";RT: @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
36;é VERDADE!RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Assista a farsa da gripe suína: http://bit.ly/iUZwy;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @rafinhabastos: http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano em tempos de gripe suina alcool em gel virou artigo de luxo ..abraço!;@marcoluque @marcelotas sucesso aqui em Porto Alegre, o hit da gripe suina:http://www.youtube.com/watch?v=nT5hWbI0Cdk;@programapanico Mais engraçado é o bola ao vivo soltando uma tosse no microfone! Olha a gripe suína!!!;@rosana Ahusaehausehuase... Muito bom seu último post. ... A gripe comum mata mais que a gripe suína ...;"RT @kibeloco: ""Brasileiros isolam vírus da gripe suína"" - Nãoo se animem. Se é no Brasil, o vírus ganhará um habeas corpus. http://migre. ...";RT @melhoresfrases Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
37;RT @wagsantisteban 4000 pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili http://twitpic.com/cr392 - eu adoro pegar pegar fila no banco porque la tenho mais chace de pagar a gripe suina e ficar u ...;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT @rafinhabastos: http://twitpic.com/dm9f0 - Gripe suína é transmitida através do contato íntimo. Previna-se.;@huckluciano Essa tal de gripe suína realmente tá tirando a gente do sério!;@marcelotas Sem contar que estavam vetando a entrada deles e pretexto para isto era a Gripe Suina #ForaSarney;"tem que fazer no quadro do bola ""5 coisas para se prevenir da gripe suína""@programapanico";RT @rosana: A gripe comum mata mais que a gripe suína?Como é morrer mais ou morrer menos?Eu quero morrer bem pouquinho, pode ser?E sem gelo.;"RT: @kibeloco: ""Brasileiros isolam vírus da gripe suína"" Nãoo se animem Se é no Brasil, o vírus ganhará um habeas corpus http://migre.me/2FTU";RT @melhoresfrases: Sou fumante, passageiro de fretado e corintiano. Minha vida virou um inferno. Só falta gripe suína. Marcelo Taboada/FSP;;;;;;;;;;;;;
